Ideas,Referencia,Formato,ESTADO,Scripts
"3 formas de romper las cajas de la pentatónica (horizontal / diagonal / legos)",memoria/04 §24,Reel,Filmado (9/9) - falta editar,Guion completo en memoria/04 §24
"¿Cuántas escalas necesitás para sonar a rock?",memoria/00 (tabla de estado),Reel,Filmado + Editado - listo,Guion no quedó documentado palabra por palabra (video ya terminado)
"Tus solos no aburren por las notas, aburren porque no respiran (espacio)",memoria/00 (tabla de estado),Reel,Filmado,Guion no quedó documentado palabra por palabra (video ya terminado)
"No tengo oído (cantá primero, tocá después)",memoria/00 (tabla de estado),Reel,Filmado - en edición (3 cortes pendientes),Guion no quedó documentado palabra por palabra (video ya terminado)
"5 guitarristas legendarios. 1 sola escala.",memoria/05 §22 (Carrusel 1),Carrusel,Escrito - falta diseño,Guion completo en memoria/05 §22
"Los 4 ingredientes del sabor",memoria/05 §22 (Carrusel 2),Carrusel,Escrito - falta diseño,Guion completo en memoria/05 §22
"Anatomía de un solo que emociona",memoria/05 §22 (Carrusel 4),Carrusel,Escrito - falta diseño,Guion completo en memoria/05 §22
"Toco desde los 11 años. Y durante años sonaba igual.",memoria/04 §36 (StoryTelling 1),StoryTelling,Guion armado - falta la foto,Guion completo en memoria/04 §36
"Por qué dejé de dar clases sueltas",memoria/04 §36 (StoryTelling 2),StoryTelling,Guion armado - falta la foto,Guion completo en memoria/04 §36
"El día que se me cayó la ficha",memoria/04 §35,Epifanía / B-Roll,Guion cerrado - a filmar,Guion completo en memoria/04 §35
"Testimonio alumno 1 a 1 - #1",memoria/04 §38,Testimonio,A coordinar y grabar (arrancar ya - el más lento),Guía de entrevista completa en memoria/04 §38 (7 preguntas)
"Testimonio alumno 1 a 1 - #2",memoria/04 §38,Testimonio,A coordinar y grabar,Guía de entrevista completa en memoria/04 §38 (7 preguntas)
"El mapa de las 5 cajas conectadas - gratis",memoria/04 §37,2 pasos,Guion y copy listos - falta el mockup del PDF,Guion completo en memoria/04 §37
"Reel Fijado - 30 seg tocando, sin hablar",memoria/04 §26,Autoridad,Guion cerrado - a filmar,Guion completo en memoria/04 §26
"Recursos para tu pentatónica menor (#1, toca sin hablar)",memoria/00 (tabla de estado),Autoridad,Filmado,Guion no quedó documentado palabra por palabra (video ya terminado)
